00:43:45 | INFO    | smoke | config loaded from D:\VoiceBridge Ai\config.yaml
01:24:23 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
01:24:23 | WARNING | voicebridge.stt.engine | [EN->AR] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
01:24:23 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'base' on cpu (int8)...
01:24:24 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-base/revision/main "HTTP/1.1 200 OK"
01:24:26 | INFO    | voicebridge.stt.engine | [EN->AR] Whisper ready on cpu
01:24:26 | INFO    | voicebridge.pipeline.orchestrator | Registered direction EN->AR (speaker=me, source=microphone)
01:24:26 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
13:41:58 | INFO    | __main__ | Starting VoiceBridge AI on http://127.0.0.1:8000
13:43:33 | INFO    | voicebridge.translation.manager | Translation backend enabled: google
13:43:36 | INFO    | voicebridge.translation.manager | Translation backend enabled: argos
13:43:36 | INFO    | voicebridge.lipsync.buffered_backend | Buffered Wav2Lip unavailable; missing: Wav2Lip inference.py, checkpoint, source face
13:43:36 | WARNING | voicebridge.lipsync.manager | Requested lip-sync backend 'demo' unavailable; using 'null'
13:43:36 | INFO    | voicebridge.lipsync.manager | Lip-sync backend: null
13:43:36 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'tiny' on cuda (float16)...
13:43:38 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
13:43:38 | WARNING | voicebridge.stt.engine | [EN->AR] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
13:43:38 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'base' on cpu (int8)...
13:43:38 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-base/revision/main "HTTP/1.1 200 OK"
13:43:40 | INFO    | voicebridge.stt.engine | [EN->AR] Whisper ready on cpu
13:43:40 | INFO    | voicebridge.pipeline.orchestrator | Registered direction EN->AR (speaker=me, source=microphone)
13:43:40 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cuda (float16)...
13:43:41 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
13:43:41 | WARNING | voicebridge.stt.engine | [AR->EN] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
13:43:41 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'base' on cpu (int8)...
13:43:41 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-base/revision/main "HTTP/1.1 200 OK"
13:43:42 | INFO    | voicebridge.stt.engine | [AR->EN] Whisper ready on cpu
13:43:42 | INFO    | voicebridge.pipeline.orchestrator | Registered direction AR->EN (speaker=other, source=microphone)
13:43:43 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
13:43:43 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
13:54:23 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
13:54:23 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
13:54:23 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
13:54:37 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
13:54:37 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
13:54:37 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
03:03:46 | INFO    | __main__ | Executing VoiceBridge AI benchmark suite...
03:03:46 | INFO    | voicebridge.benchmarks.runner | === Starting VoiceBridge AI Benchmark Suite ===
03:03:46 | INFO    | voicebridge.metrics.resource_monitor | ResourceMonitor started (interval=0.2s)
03:03:46 | INFO    | voicebridge.benchmarks.runner | Running benchmark scenario: Short Audio (5s)...
03:03:46 | INFO    | voicebridge.benchmarks.audio_generator | Generated benchmark WAV: benchmark_5s.wav (5.0s)
03:03:46 | INFO    | voicebridge.benchmarks.runner | Running benchmark scenario: Medium Audio (30s)...
03:03:46 | INFO    | voicebridge.benchmarks.audio_generator | Generated benchmark WAV: benchmark_30s.wav (30.0s)
03:03:46 | INFO    | voicebridge.benchmarks.runner | Running benchmark scenario: Long Audio (120s)...
03:03:46 | INFO    | voicebridge.benchmarks.audio_generator | Generated benchmark WAV: benchmark_120s.wav (120.0s)
03:03:46 | INFO    | voicebridge.benchmarks.runner | Running concurrency benchmark: 1 concurrent stream(s)...
03:03:46 | INFO    | voicebridge.benchmarks.runner | Running concurrency benchmark: 2 concurrent stream(s)...
03:03:46 | INFO    | voicebridge.benchmarks.runner | Running concurrency benchmark: 4 concurrent stream(s)...
03:03:47 | INFO    | voicebridge.metrics.resource_monitor | ResourceMonitor stopped
03:03:47 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030347.md
03:03:47 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030347.json
03:03:47 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030347.csv
03:03:47 | INFO    | voicebridge.benchmarks.runner | === Benchmark Suite Complete ===
03:03:47 | INFO    | voicebridge.benchmarks.runner | Reports exported to:
 - D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030347.md
 - D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030347.json
 - D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030347.csv
03:04:33 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
03:04:33 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
03:04:33 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
03:04:33 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 1200.0ms (device=cpu, cache_hit=False)
03:04:33 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 5.0ms (device=cpu, cache_hit=True)
03:04:34 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-9\test_performance_reporter0\report.md
03:04:34 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-9\test_performance_reporter0\report.json
03:04:34 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-9\test_performance_reporter0\report.csv
03:04:51 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
03:04:51 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
03:04:51 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
03:04:51 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 1200.0ms (device=cpu, cache_hit=False)
03:04:51 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 5.0ms (device=cpu, cache_hit=True)
03:04:51 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-10\test_performance_reporter0\report.md
03:04:51 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-10\test_performance_reporter0\report.json
03:04:51 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-10\test_performance_reporter0\report.csv
03:08:17 | INFO    | __main__ | Executing VoiceBridge AI benchmark suite...
03:08:17 | INFO    | voicebridge.benchmarks.runner | === Starting VoiceBridge AI Benchmark Suite ===
03:08:17 | INFO    | voicebridge.metrics.resource_monitor | ResourceMonitor started (interval=0.2s)
03:08:17 | INFO    | voicebridge.benchmarks.runner | Running benchmark scenario: Short Audio (5s)...
03:08:17 | INFO    | voicebridge.benchmarks.audio_generator | Generated benchmark WAV: benchmark_5s.wav (5.0s)
03:08:17 | INFO    | voicebridge.benchmarks.runner | Running benchmark scenario: Medium Audio (30s)...
03:08:17 | INFO    | voicebridge.benchmarks.audio_generator | Generated benchmark WAV: benchmark_30s.wav (30.0s)
03:08:17 | INFO    | voicebridge.benchmarks.runner | Running benchmark scenario: Long Audio (120s)...
03:08:17 | INFO    | voicebridge.benchmarks.audio_generator | Generated benchmark WAV: benchmark_120s.wav (120.0s)
03:08:17 | INFO    | voicebridge.benchmarks.runner | Running concurrency benchmark: 1 concurrent stream(s)...
03:08:17 | INFO    | voicebridge.benchmarks.runner | Running concurrency benchmark: 2 concurrent stream(s)...
03:08:17 | INFO    | voicebridge.benchmarks.runner | Running concurrency benchmark: 4 concurrent stream(s)...
03:08:17 | INFO    | voicebridge.metrics.resource_monitor | ResourceMonitor stopped
03:08:17 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030817.md
03:08:17 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030817.json
03:08:17 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030817.csv
03:08:17 | INFO    | voicebridge.benchmarks.runner | === Benchmark Suite Complete ===
03:08:17 | INFO    | voicebridge.benchmarks.runner | Reports exported to:
 - D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030817.md
 - D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030817.json
 - D:\VoiceBridge Ai\logs\reports\benchmark_report_20260801_030817.csv
03:08:24 | INFO    | __main__ | Launching VoiceBridge AI live dashboard...
03:08:24 | INFO    | voicebridge.metrics.resource_monitor | ResourceMonitor started (interval=0.5s)
00:24:38 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
00:24:38 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
00:24:38 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cuda (float16)...
00:24:38 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 1200.0ms (device=cpu, cache_hit=False)
00:24:38 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 5.0ms (device=cpu, cache_hit=True)
00:24:38 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 1200.0ms (device=cpu, cache_hit=False)
00:24:38 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 5.0ms (device=cpu, cache_hit=True)
00:24:38 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-14\test_performance_reporter0\report.md
00:24:38 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-14\test_performance_reporter0\report.json
00:24:38 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-14\test_performance_reporter0\report.csv
00:24:38 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-15\test_performance_reporter0\report.md
00:24:38 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-15\test_performance_reporter0\report.json
00:24:38 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-15\test_performance_reporter0\report.csv
00:24:41 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:24:41 | WARNING | voicebridge.stt.engine | [AR->EN] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
00:24:41 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cpu (int8)...
00:24:42 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:24:43 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 1080.0ms (device=cpu, cache_hit=False)
00:24:43 | INFO    | voicebridge.stt.engine | [AR->EN] Whisper ready on cpu (loaded in 1080.0ms)
00:24:43 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:44:12 | INFO    | __main__ | Starting VoiceBridge AI on http://127.0.0.1:8000
00:45:07 | INFO    | voicebridge.translation.manager | Translation backend enabled: google
00:45:08 | INFO    | voicebridge.translation.manager | Translation backend enabled: argos
00:45:08 | INFO    | voicebridge.lipsync.buffered_backend | Buffered Wav2Lip unavailable; missing: Wav2Lip inference.py, checkpoint, source face
00:45:08 | WARNING | voicebridge.lipsync.manager | Requested lip-sync backend 'demo' unavailable; using 'null'
00:45:08 | INFO    | voicebridge.lipsync.manager | Lip-sync backend: null
00:45:08 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'tiny' on cuda (float16)...
00:45:09 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:45:09 | WARNING | voicebridge.stt.engine | [EN->AR] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
00:45:09 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'tiny' on cpu (int8)...
00:45:09 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:45:10 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 698.8ms (device=cpu, cache_hit=False)
00:45:10 | INFO    | voicebridge.stt.engine | [EN->AR] Whisper ready on cpu (loaded in 698.8ms)
00:45:10 | INFO    | voicebridge.pipeline.orchestrator | Registered direction EN->AR (speaker=me, source=microphone)
00:45:10 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cuda (float16)...
00:45:12 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:45:12 | WARNING | voicebridge.stt.engine | [AR->EN] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
00:45:12 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cpu (int8)...
00:45:12 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:45:13 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 816.7ms (device=cpu, cache_hit=True)
00:45:13 | INFO    | voicebridge.stt.engine | [AR->EN] Whisper ready on cpu (loaded in 816.7ms)
00:45:13 | INFO    | voicebridge.pipeline.orchestrator | Registered direction AR->EN (speaker=other, source=microphone)
00:45:13 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
00:45:13 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
00:45:27 | INFO    | voicebridge.pipeline.orchestrator | Stopping pipeline...
00:45:28 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:56:32 | INFO    | __main__ | Starting VoiceBridge AI on http://127.0.0.1:8000
00:56:39 | INFO    | voicebridge.translation.manager | Translation backend enabled: google
00:56:39 | INFO    | voicebridge.translation.manager | Translation backend enabled: argos
00:56:39 | INFO    | voicebridge.lipsync.buffered_backend | Buffered Wav2Lip unavailable; missing: Wav2Lip inference.py, checkpoint, source face
00:56:39 | WARNING | voicebridge.lipsync.manager | Requested lip-sync backend 'demo' unavailable; using 'null'
00:56:39 | INFO    | voicebridge.lipsync.manager | Lip-sync backend: null
00:56:39 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'tiny' on cuda (float16)...
00:56:41 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:56:41 | WARNING | voicebridge.stt.engine | [EN->AR] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
00:56:41 | INFO    | voicebridge.stt.engine | [EN->AR] Loading Whisper 'tiny' on cpu (int8)...
00:56:41 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:56:42 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 851.7ms (device=cpu, cache_hit=False)
00:56:42 | INFO    | voicebridge.stt.engine | [EN->AR] Whisper ready on cpu (loaded in 851.7ms)
00:56:42 | INFO    | voicebridge.pipeline.orchestrator | Registered direction EN->AR (speaker=me, source=microphone)
00:56:42 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cuda (float16)...
00:56:42 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:56:42 | WARNING | voicebridge.stt.engine | [AR->EN] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
00:56:42 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cpu (int8)...
00:56:42 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:56:43 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 716.4ms (device=cpu, cache_hit=True)
00:56:43 | INFO    | voicebridge.stt.engine | [AR->EN] Whisper ready on cpu (loaded in 716.4ms)
00:56:43 | INFO    | voicebridge.pipeline.orchestrator | Registered direction AR->EN (speaker=other, source=microphone)
00:56:43 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
00:56:43 | INFO    | voicebridge.audio.capture | Microphone open (VAD chunking)
00:56:53 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:57:00 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:57:03 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:57:22 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:59:50 | INFO    | httpx | HTTP Request: GET http://testserver/api/info "HTTP/1.1 200 OK"
00:59:50 | INFO    | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
00:59:50 | INFO    | httpx | HTTP Request: POST http://testserver/api/stop "HTTP/1.1 200 OK"
00:59:50 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cuda (float16)...
00:59:52 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:59:52 | WARNING | voicebridge.stt.engine | [AR->EN] Could not load on cuda: CUDA failed with error CUDA driver version is insufficient for CUDA runtime version
00:59:52 | INFO    | voicebridge.stt.engine | [AR->EN] Loading Whisper 'tiny' on cpu (int8)...
00:59:52 | INFO    | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-tiny/revision/main "HTTP/1.1 200 OK"
00:59:53 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 729.0ms (device=cpu, cache_hit=False)
00:59:53 | INFO    | voicebridge.stt.engine | [AR->EN] Whisper ready on cpu (loaded in 729.0ms)
00:59:53 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
00:59:53 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 1200.0ms (device=cpu, cache_hit=False)
00:59:53 | INFO    | voicebridge.metrics.model_tracker | Model [stt/whisper_tiny_cpu] loaded in 5.0ms (device=cpu, cache_hit=True)
00:59:53 | INFO    | voicebridge.metrics.reporter | Exported Markdown report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-16\test_performance_reporter0\report.md
00:59:53 | INFO    | voicebridge.metrics.reporter | Exported JSON report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-16\test_performance_reporter0\report.json
00:59:53 | INFO    | voicebridge.metrics.reporter | Exported CSV report -> C:\Users\Amin Khan\AppData\Local\Temp\pytest-of-Amin Khan\pytest-16\test_performance_reporter0\report.csv
01:01:58 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:02:08 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:02:10 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:02:15 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:02:24 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:02:30 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:03:01 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:03:03 | INFO    | voicebridge.pipeline.worker | [AR->EN] Text-only translation for speaker 'other' (voice disabled)
01:03:56 | INFO    | __main__ | Starting VoiceBridge AI on http://127.0.0.1:8000
01:04:15 | INFO    | voicebridge.translation.manager | Translation backend enabled: google
